emoji,group,before path,old_path,image_path,
🤞🏽,hand,1f91e-1f3fd.svg,emoji_images/1f91e-1f3fd.svg,https://twemoji.maxcdn.com/v/latest/svg/1f91e-1f3fd.svg,
🤠,sentiment,1f920.svg,emoji_images/1f920.svg,https://twemoji.maxcdn.com/v/latest/svg/1f920.svg,
🤡,sentiment,1f921.svg,emoji_images/1f921.svg,https://twemoji.maxcdn.com/v/latest/svg/1f921.svg,
🤢,sentiment,1f922.svg,emoji_images/1f922.svg,https://twemoji.maxcdn.com/v/latest/svg/1f922.svg,
🤣,sentiment,1f923.svg,emoji_images/1f923.svg,https://twemoji.maxcdn.com/v/latest/svg/1f923.svg,
🤤,sentiment,1f924.svg,emoji_images/1f924.svg,https://twemoji.maxcdn.com/v/latest/svg/1f924.svg,
🤦,sentiment,1f926.svg,emoji_images/1f926.svg,https://twemoji.maxcdn.com/v/latest/svg/1f926.svg,
🤦\u200d♂️,sentiment,1f926-200d-2642-fe0f.svg,emoji_images/1f926-200d-2642-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f926-200d-2642-fe0f.svg,
🤦🏻\u200d♀️,sentiment,1f926-1f3fb-200d-2640-fe0f.svg,emoji_images/1f926-1f3fb-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f926-1f3fb-200d-2640-fe0f.svg,
🤦🏾\u200d♀️,sentiment,1f926-1f3fe-200d-2640-fe0f.svg,emoji_images/1f926-1f3fe-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f926-1f3fe-200d-2640-fe0f.svg,
🤧,sentiment,1f927.svg,emoji_images/1f927.svg,https://twemoji.maxcdn.com/v/latest/svg/1f927.svg,
🤨,sentiment,1f928.svg,emoji_images/1f928.svg,https://twemoji.maxcdn.com/v/latest/svg/1f928.svg,
🤩,sentiment,1f929.svg,emoji_images/1f929.svg,https://twemoji.maxcdn.com/v/latest/svg/1f929.svg,
🤪,sentiment,1f92a.svg,emoji_images/1f92a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f92a.svg,
🤫,sentiment,1f92b.svg,emoji_images/1f92b.svg,https://twemoji.maxcdn.com/v/latest/svg/1f92b.svg,
🤬,sentiment,1f92c.svg,emoji_images/1f92c.svg,https://twemoji.maxcdn.com/v/latest/svg/1f92c.svg,
🤭,sentiment,1f92d.svg,emoji_images/1f92d.svg,https://twemoji.maxcdn.com/v/latest/svg/1f92d.svg,
🤯,sentiment,1f92f.svg,emoji_images/1f92f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f92f.svg,
🤲,hand,1f932.svg,emoji_images/1f932.svg,https://twemoji.maxcdn.com/v/latest/svg/1f932.svg,
🤶🏻,seasonal,1f936-1f3fb.svg,emoji_images/1f936-1f3fb.svg,https://twemoji.maxcdn.com/v/latest/svg/1f936-1f3fb.svg,
🤷\u200d♂️,sentiment,1f937-200d-2642-fe0f.svg,emoji_images/1f937-200d-2642-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f937-200d-2642-fe0f.svg,
🤷🏼\u200d♀️,sentiment,1f937-1f3fc-200d-2640-fe0f.svg,emoji_images/1f937-1f3fc-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f937-1f3fc-200d-2640-fe0f.svg,
🤷🏽\u200d♀️,sentiment,1f937-1f3fd-200d-2640-fe0f.svg,emoji_images/1f937-1f3fd-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f937-1f3fd-200d-2640-fe0f.svg,
🤺,misc,1f93a.svg,emoji_images/1f93a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f93a.svg,
🥀,flower,1f940.svg,emoji_images/1f940.svg,https://twemoji.maxcdn.com/v/latest/svg/1f940.svg,
🥁,music,1f941.svg,emoji_images/1f941.svg,https://twemoji.maxcdn.com/v/latest/svg/1f941.svg,
🥂,food,1f942.svg,emoji_images/1f942.svg,https://twemoji.maxcdn.com/v/latest/svg/1f942.svg,
